subject_code,subject_name,term,day,period,instructors,class_id,status,note
BIO401k,分子生物学,後学期,月,2,三瓶　嚴一,,,
BIO401k,分子生物学,後学期,月,2,松田　信爾,,,
BIO401m,分子生物学,後学期,月,2,三瓶　嚴一,,,
BIO401m,分子生物学,後学期,月,2,松田　信爾,,,
BIO401n,分子生物学,後学期,月,2,三瓶　嚴一,,,
BIO401n,分子生物学,後学期,月,2,松田　信爾,,,
BIO401p,分子生物学,後学期,月,2,三瓶　嚴一,,,
BIO401p,分子生物学,後学期,月,2,松田　信爾,,,
BIO401r,分子生物学,後学期,月,2,三瓶　嚴一,,,
BIO401r,分子生物学,後学期,月,2,松田　信爾,,,
CAR503z,インターンシップ,前学期,,,原田　慧・関　新之助,,,
CAR503z,インターンシップ,前学期,,,田中　久陽・舩戸 徹郎,,,
CAR503z,インターンシップ,前学期,,,中根　大介,,,
CAR504z,インターンシップ（海外）,前学期,,,原田　慧・関　新之助,,,
CAR504z,インターンシップ（海外）,前学期,,,田中　久陽・舩戸 徹郎,,,
CAR504z,インターンシップ（海外）,前学期,,,中根　大介,,,
CHI101z,中国語第一,前学期,月,2,中村　孝子,,,
CHI101z,中国語第一,前学期,月,2,鷲巣　益美,,,
CHI101z,中国語第一,前学期,月,2,石野　智大,,,
CHI101z,中国語第一,前学期,月,2,木村　奈津子,,,
CHI101z,中国語第一,前学期,月,3,中村　孝子,,,
CHI101z,中国語第一,前学期,月,3,鷲巣　益美,,,
CHI101z,中国語第一,前学期,月,3,石野　智大,,,
CHI101z,中国語第一,前学期,月,3,木村　奈津子,,,
CHI101z,中国語第一,前学期,月,4,鷲巣　益美,,,
CHI102z,選択中国語第一,前学期,木,2,小野　響,,,
CHI102z,選択中国語第一,前学期,木,2,李　偉,,,
CHI102z,選択中国語第一,前学期,木,2,千葉　偉一,,,
CHI102z,選択中国語第一,前学期,木,5,小野　響,,,
CHI201z,中国語第二,後学期,月,2,中村　孝子,,,
CHI201z,中国語第二,後学期,月,2,鷲巣　益美,,,
CHI201z,中国語第二,後学期,月,2,石野　智大,,,
CHI201z,中国語第二,後学期,月,2,木村　奈津子,,,
CHI201z,中国語第二,後学期,月,3,中村　孝子,,,
CHI201z,中国語第二,後学期,月,3,鷲巣　益美,,,
CHI201z,中国語第二,後学期,月,3,石野　智大,,,
CHI201z,中国語第二,後学期,月,3,木村　奈津子,,,
CHI201z,中国語第二,後学期,月,4,鷲巣　益美,,,
CHI202z,選択中国語第二,後学期,木,2,小野　響,,,
CHI202z,選択中国語第二,後学期,木,2,李　偉,,,
CHI202z,選択中国語第二,後学期,木,2,千葉　偉一,,,
CHI202z,選択中国語第二,後学期,木,5,小野　響,,,
CHI301z,中国語演習,前学期,月,4,木村　奈津子,,,
CHI301z,中国語演習,前学期,月,4,小野　響,,,
CHI301z,中国語演習,前学期,木,1,千葉　偉一,,,
CHI301z,中国語演習,前学期,木,1,李　偉,,,
CHI401z,中国語運用演習,後学期,月,4,木村　奈津子,,,
CHI401z,中国語運用演習,後学期,月,4,小野　響,,,
CHI401z,中国語運用演習,後学期,木,1,千葉　偉一,,,
CHI401z,中国語運用演習,後学期,木,1,李　偉,,,
CHM102z,化学概論第一,前学期,月,2,山北　佳宏,,,
CHM102z,化学概論第一,前学期,月,2,加固　昌寛,,,
CHM102z,化学概論第一,前学期,火,1,池田　佑美,,,
CHM102z,化学概論第一,前学期,火,2,平野　誉,,,
CHM102z,化学概論第一,前学期,火,2,山登　正文,,,
CHM102z,化学概論第一,前学期,火,4,牧　昌次郎,,,
CHM102z,化学概論第一,前学期,火,4,安井　正憲,,,
CHM102z,化学概論第一,前学期,火,4,田仲　真紀子,,,
CHM102z,化学概論第一,前学期,火,4,三輪　寛子,,,
CHM102z,化学概論第一,前学期,火,4,桑原　大介,,,
CHM102z,化学概論第一,前学期,木,1,池田　佑美,,,
CHM102z,化学概論第一,前学期,金,2,石田　尚行,,,
CHM401m,基礎物理化学,後学期,火,2,安井　正憲,,,
CHM401m,基礎物理化学,後学期,火,2,平田　修造,,,
CHM401n,基礎物理化学,後学期,火,2,安井　正憲,,,
CHM401n,基礎物理化学,後学期,火,2,平田　修造,,,
CHM401p,基礎物理化学,後学期,火,2,安井　正憲,,,
CHM401p,基礎物理化学,後学期,火,2,平田　修造,,,
CHM401r,基礎物理化学,後学期,火,2,安井　正憲,,,
CHM401r,基礎物理化学,後学期,火,2,平田　修造,,,
COM101z,コンピュータリテラシー,前学期,月,2,廣田・*竹内,,,
COM101z,コンピュータリテラシー,前学期,月,2,栗原　正純,,,
COM101z,コンピュータリテラシー,前学期,月,4,柏原　昭博,,,
COM101z,コンピュータリテラシー,前学期,月,4,田中　基康,,,
COM101z,コンピュータリテラシー,前学期,火,3,高木　正則,,,
COM101z,コンピュータリテラシー,前学期,火,3,戸田　貴久,,,
COM101z,コンピュータリテラシー,前学期,水,1,王(港)・*笹倉,A1-1,auto,
COM101z,コンピュータリテラシー,前学期,水,1,渡辺（博）・小柏,,,
COM101z,コンピュータリテラシー,前学期,水,2,江木　啓訓,,,
COM101z,コンピュータリテラシー,前学期,水,2,栗原　正純,,,
COM101z,コンピュータリテラシー,前学期,木,3,若月　光夫,,,
COM101z,コンピュータリテラシー,前学期,木,4,八木　秀樹,,,
COM201z,基礎プログラミングおよび演習,後学期,月,2,江木・椿本,,,
COM201z,基礎プログラミングおよび演習,後学期,月,2,藤田　秀之,,,
COM201z,基礎プログラミングおよび演習,後学期,月,4,長濱・*竹内,,,
COM201z,基礎プログラミングおよび演習,後学期,月,4,仲田　佳弘,,,
COM201z,基礎プログラミングおよび演習,後学期,火,2,工藤　俊亮,,,
COM201z,基礎プログラミングおよび演習,後学期,火,4,小宮　常康,,,
COM201z,基礎プログラミングおよび演習,後学期,水,2,橋山　智訓,,,
COM201z,基礎プログラミングおよび演習,後学期,水,2,稲葉・*笹倉,,,
COM201z,基礎プログラミングおよび演習,後学期,木,3,本多　弘樹,,,
COM201z,基礎プログラミングおよび演習,後学期,木,3,渡辺　博芳,,,
COM201z,基礎プログラミングおよび演習,後学期,木,4,織田　健,,,
COM201z,基礎プログラミングおよび演習,後学期,木,4,兼岩　憲,,,
COM202a,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,,
COM202a,情報領域演習第一,後学期,水,1,中鹿・工藤,,,
COM202a,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,,
COM202b,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,,
COM202b,情報領域演習第一,後学期,水,1,中鹿・工藤,,,
COM202b,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,,
COM202c,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,,
COM202c,情報領域演習第一,後学期,水,1,中鹿・工藤,,,
COM202c,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,,
COM202d,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,,
COM202d,情報領域演習第一,後学期,水,1,中鹿・工藤,,,
COM202d,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,,
COM202e,情報領域演習第一,後学期,月,1,水野（統）・宮本・三重野,,,
COM202e,情報領域演習第一,後学期,水,1,中鹿・工藤,,,
COM202e,情報領域演習第一,後学期,水,1,若月・清・小山（大）,,,
COM301a,計算機通論,前学期,月,2,小宮　常康,,,
COM301a,計算機通論,前学期,木,4,鈴木　貢,,,
COM301a,計算機通論,前学期,金,2,仲谷　栄伸,,,
COM301b,計算機通論,前学期,月,2,小宮　常康,,,
COM301b,計算機通論,前学期,木,4,鈴木　貢,,,
COM301b,計算機通論,前学期,金,2,仲谷　栄伸,,,
COM301c,計算機通論,前学期,月,2,小宮　常康,,,
COM301c,計算機通論,前学期,木,4,鈴木　貢,,,
COM301c,計算機通論,前学期,金,2,仲谷　栄伸,,,
COM301d,計算機通論,前学期,月,2,小宮　常康,,,
COM301d,計算機通論,前学期,木,4,鈴木　貢,,,
COM301d,計算機通論,前学期,金,2,仲谷　栄伸,,,
COM301e,計算機通論,前学期,月,2,小宮　常康,,,
COM301e,計算機通論,前学期,木,4,鈴木　貢,,,
COM301e,計算機通論,前学期,金,2,仲谷　栄伸,,,
COM301f,数値解析およびプログラミング演習,前学期,水,3,劉　志,,,
COM301f,数値解析およびプログラミング演習,前学期,水,4,劉　志,,,
COM301f,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,,,
COM301f,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,,,
COM301f,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,,,
COM301f,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,,,
COM301g,数値解析およびプログラミング演習,前学期,水,3,劉　志,,,
COM301g,数値解析およびプログラミング演習,前学期,水,4,劉　志,,,
COM301g,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,,,
COM301g,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,,,
COM301g,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,,,
COM301g,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,,,
COM301h,数値解析およびプログラミング演習,前学期,水,3,劉　志,,,
COM301h,数値解析およびプログラミング演習,前学期,水,4,劉　志,,,
COM301h,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,,,
COM301h,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,,,
COM301h,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,,,
COM301h,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,,,
COM301i,数値解析およびプログラミング演習,前学期,水,3,劉　志,,,
COM301i,数値解析およびプログラミング演習,前学期,水,4,劉　志,,,
COM301i,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,,,
COM301i,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,,,
COM301i,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,,,
COM301i,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,,,
COM301j,数値解析およびプログラミング演習,前学期,水,3,劉　志,,,
COM301j,数値解析およびプログラミング演習,前学期,水,4,劉　志,,,
COM301j,数値解析およびプログラミング演習,前学期,水,3,大坐畠　智,,,
COM301j,数値解析およびプログラミング演習,前学期,水,4,大坐畠　智,,,
COM301j,数値解析およびプログラミング演習,前学期,木,3,舩戸　徹郎,,,
COM301j,数値解析およびプログラミング演習,前学期,木,4,舩戸　徹郎,,,
COM301k,数値解析,前学期,月,3,久保木　孝,,,
COM301k,数値解析,前学期,火,2,舩戸　徹郎,,,
COM301m,数値解析,前学期,月,3,久保木　孝,,,
COM301m,数値解析,前学期,火,2,舩戸　徹郎,,,
COM301n,数値解析,前学期,月,3,久保木　孝,,,
COM301n,数値解析,前学期,火,2,舩戸　徹郎,,,
COM301p,数値解析,前学期,月,3,久保木　孝,,,
COM301p,数値解析,前学期,火,2,舩戸　徹郎,,,
COM301r,数値解析,前学期,月,3,久保木　孝,,,
COM301r,数値解析,前学期,火,2,舩戸　徹郎,,,
COM302a,論理設計学,前学期,木,4,吉永　努,,,
COM302a,論理設計学,前学期,金,2,三輪　忍,,,
COM302a,論理設計学,前学期,,,佐藤　証,,,
COM302b,論理設計学,前学期,木,4,吉永　努,,,
COM302b,論理設計学,前学期,金,2,三輪　忍,,,
COM302b,論理設計学,前学期,,,佐藤　証,,,
COM302c,論理設計学,前学期,木,4,吉永　努,,,
COM302c,論理設計学,前学期,金,2,三輪　忍,,,
COM302c,論理設計学,前学期,,,佐藤　証,,,
COM302d,論理設計学,前学期,木,4,吉永　努,,,
COM302d,論理設計学,前学期,金,2,三輪　忍,,,
COM302d,論理設計学,前学期,,,佐藤　証,,,
COM302e,論理設計学,前学期,木,4,吉永　努,,,
COM302e,論理設計学,前学期,金,2,三輪　忍,,,
COM302e,論理設計学,前学期,,,佐藤　証,,,
COM303a,プログラミング通論,前学期,火,3,橋本　直己,,,
COM303a,プログラミング通論,前学期,火,3,丸山　一貴,,,
COM303a,プログラミング通論,前学期,水,3,古賀　久志,,,
COM303b,プログラミング通論,前学期,火,3,橋本　直己,,,
COM303b,プログラミング通論,前学期,火,3,丸山　一貴,,,
COM303b,プログラミング通論,前学期,水,3,古賀　久志,,,
COM303c,プログラミング通論,前学期,火,3,橋本　直己,,,
COM303c,プログラミング通論,前学期,火,3,丸山　一貴,,,
COM303c,プログラミング通論,前学期,水,3,古賀　久志,,,
COM303d,プログラミング通論,前学期,火,3,橋本　直己,,,
COM303d,プログラミング通論,前学期,火,3,丸山　一貴,,,
COM303d,プログラミング通論,前学期,水,3,古賀　久志,,,
COM303e,プログラミング通論,前学期,火,3,橋本　直己,,,
COM303e,プログラミング通論,前学期,火,3,丸山　一貴,,,
COM303e,プログラミング通論,前学期,水,3,古賀　久志,,,
COM304a,情報領域演習第二,前学期,火,4,三重野・関・渕本,,,
COM304a,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,,,
COM304a,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,,,
COM304b,情報領域演習第二,前学期,火,4,三重野・関・渕本,,,
COM304b,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,,,
COM304b,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,,,
COM304c,情報領域演習第二,前学期,火,4,三重野・関・渕本,,,
COM304c,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,,,
COM304c,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,,,
COM304d,情報領域演習第二,前学期,火,4,三重野・関・渕本,,,
COM304d,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,,,
COM304d,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,,,
COM304e,情報領域演習第二,前学期,火,4,三重野・関・渕本,,,
COM304e,情報領域演習第二,前学期,木,3,佐藤(光)・高橋(裕)・工藤・織田・中鹿,,,
COM304e,情報領域演習第二,前学期,金,1,菅原・髙木(一)・長濱・軽部,,,
COM401a,情報領域演習第三,後学期,火,4,小泉　直也,,,
COM401a,情報領域演習第三,後学期,木,4,赤池　英夫,,,
COM401a,情報領域演習第三,後学期,木,4,三重野　琢也,,,
COM401b,情報領域演習第三,後学期,火,4,小泉　直也,,,
COM401b,情報領域演習第三,後学期,木,4,赤池　英夫,,,
COM401b,情報領域演習第三,後学期,木,4,三重野　琢也,,,
COM401c,情報領域演習第三,後学期,火,4,小泉　直也,,,
COM401c,情報領域演習第三,後学期,木,4,赤池　英夫,,,
COM401c,情報領域演習第三,後学期,木,4,三重野　琢也,,,
COM401d,情報領域演習第三,後学期,火,4,小泉　直也,,,
COM401d,情報領域演習第三,後学期,木,4,赤池　英夫,,,
COM401d,情報領域演習第三,後学期,木,4,三重野　琢也,,,
COM401e,情報領域演習第三,後学期,火,4,小泉　直也,,,
COM401e,情報領域演習第三,後学期,木,4,赤池　英夫,,,
COM401e,情報領域演習第三,後学期,木,4,三重野　琢也,,,
COM401f,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,李　陽,,,
COM401f,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,李　陽,,,
COM401f,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,WANG YUNTAO,,,
COM401f,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,WANG YUNTAO,,,
COM401f,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,5,小川　朋宏,,,
COM401f,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,6,小川　朋宏,,,
COM401g,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,李　陽,,,
COM401g,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,李　陽,,,
COM401g,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,WANG YUNTAO,,,
COM401g,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,WANG YUNTAO,,,
COM401g,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,5,小川　朋宏,,,
COM401g,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,6,小川　朋宏,,,
COM401h,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,李　陽,,,
COM401h,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,李　陽,,,
COM401h,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,WANG YUNTAO,,,
COM401h,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,WANG YUNTAO,,,
COM401h,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,5,小川　朋宏,,,
COM401h,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,6,小川　朋宏,,,
COM401i,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,李　陽,,,
COM401i,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,李　陽,,,
COM401i,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,WANG YUNTAO,,,
COM401i,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,WANG YUNTAO,,,
COM401i,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,5,小川　朋宏,,,
COM401i,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,6,小川　朋宏,,,
COM401j,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,李　陽,,,
COM401j,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,李　陽,,,
COM401j,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,1,WANG YUNTAO,,,
COM401j,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,2,WANG YUNTAO,,,
COM401j,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,5,小川　朋宏,,,
COM401j,アルゴリズムとデータ構造およびプログラミング演習,後学期,金,6,小川　朋宏,,,
COM401k,プログラミング演習,後学期,木,2,結城　宏信,,,
COM401k,プログラミング演習,後学期,木,2,山鹿　汐音,,,
COM401m,プログラミング演習,後学期,木,2,結城　宏信,,,
COM401m,プログラミング演習,後学期,木,2,山鹿　汐音,,,
COM401n,プログラミング演習,後学期,木,2,結城　宏信,,,
COM401n,プログラミング演習,後学期,木,2,山鹿　汐音,,,
COM401p,プログラミング演習,後学期,木,2,結城　宏信,,,
COM401p,プログラミング演習,後学期,木,2,山鹿　汐音,,,
COM401r,プログラミング演習,後学期,木,2,結城　宏信,,,
COM401r,プログラミング演習,後学期,木,2,山鹿　汐音,,,
COM402a,アルゴリズム論第一,後学期,火,4,大森・新谷,,,
COM402a,アルゴリズム論第一,後学期,水,4,伊藤　大雄,,,
COM402a,アルゴリズム論第一,後学期,木,4,庄野　逸,,,
COM402b,アルゴリズム論第一,後学期,火,4,大森・新谷,,,
COM402b,アルゴリズム論第一,後学期,水,4,伊藤　大雄,,,
COM402b,アルゴリズム論第一,後学期,木,4,庄野　逸,,,
COM402c,アルゴリズム論第一,後学期,火,4,大森・新谷,,,
COM402c,アルゴリズム論第一,後学期,水,4,伊藤　大雄,,,
COM402c,アルゴリズム論第一,後学期,木,4,庄野　逸,,,
COM402d,アルゴリズム論第一,後学期,火,4,大森・新谷,,,
COM402d,アルゴリズム論第一,後学期,水,4,伊藤　大雄,,,
COM402d,アルゴリズム論第一,後学期,木,4,庄野　逸,,,
COM402e,アルゴリズム論第一,後学期,火,4,大森・新谷,,,
COM402e,アルゴリズム論第一,後学期,水,4,伊藤　大雄,,,
COM402e,アルゴリズム論第一,後学期,木,4,庄野　逸,,,
COM402k,計算機工学,後学期,木,2,結城　宏信,,,
COM402k,計算機工学,後学期,木,2,山鹿　汐音,,,
COM403a,コンピュータネットワーク,後学期,月,2,湯　素華,,,
COM403a,コンピュータネットワーク,後学期,,,川喜田　佑介,,,
COM403b,コンピュータネットワーク,後学期,月,2,湯　素華,,,
COM403b,コンピュータネットワーク,後学期,,,川喜田　佑介,,,
COM403c,コンピュータネットワーク,後学期,月,2,湯　素華,,,
COM403c,コンピュータネットワーク,後学期,,,川喜田　佑介,,,
COM403d,コンピュータネットワーク,後学期,月,2,湯　素華,,,
COM403d,コンピュータネットワーク,後学期,,,川喜田　佑介,,,
COM403e,コンピュータネットワーク,後学期,月,2,湯　素華,,,
COM403e,コンピュータネットワーク,後学期,,,川喜田　佑介,,,
COM404a,コンピュータ設計論,後学期,金,2,吉永　努,,,
COM404a,コンピュータ設計論,後学期,金,3,策力木格,,,
COM404b,コンピュータ設計論,後学期,金,2,吉永　努,,,
COM404b,コンピュータ設計論,後学期,金,3,策力木格,,,
COM404c,コンピュータ設計論,後学期,金,2,吉永　努,,,
COM404c,コンピュータ設計論,後学期,金,3,策力木格,,,
COM404d,コンピュータ設計論,後学期,金,2,吉永　努,,,
COM404d,コンピュータ設計論,後学期,金,3,策力木格,,,
COM404e,コンピュータ設計論,後学期,金,2,吉永　努,,,
COM404e,コンピュータ設計論,後学期,金,3,策力木格,,,
COM405a,メディア情報学プログラミング演習,後学期,金,3,柳井　啓司,,,
COM405a,メディア情報学プログラミング演習,後学期,金,4,松野　省吾,,,
COM405e,メディア情報学プログラミング演習,後学期,金,3,柳井　啓司,,,
COM405e,メディア情報学プログラミング演習,後学期,金,4,松野　省吾,,,
COM405i,論理回路学,後学期,月,3,小島　年春,,,
COM405i,論理回路学,後学期,火,1,安達　宏一,,,
COM405j,論理回路学,後学期,月,3,小島　年春,,,
COM405j,論理回路学,後学期,火,1,安達　宏一,,,
COM501a,プログラミング言語実験,前学期,月,2,柏原・織田・庄野・若月,,,
COM501a,プログラミング言語実験,前学期,月,3,柏原・織田・庄野・若月,,,
COM501a,プログラミング言語実験,前学期,火,2,柏原・織田・庄野・若月,,,
COM501a,プログラミング言語実験,前学期,火,3,柏原・織田・庄野・若月,,,
COM501b,プログラミング言語実験,前学期,月,2,柏原・織田・庄野・若月,,,
COM501b,プログラミング言語実験,前学期,月,3,柏原・織田・庄野・若月,,,
COM501b,プログラミング言語実験,前学期,火,2,柏原・織田・庄野・若月,,,
COM501b,プログラミング言語実験,前学期,火,3,柏原・織田・庄野・若月,,,
COM501e,プログラミング言語実験,前学期,月,2,柏原・織田・庄野・若月,,,
COM501e,プログラミング言語実験,前学期,月,3,柏原・織田・庄野・若月,,,
COM501e,プログラミング言語実験,前学期,火,2,柏原・織田・庄野・若月,,,
COM501e,プログラミング言語実験,前学期,火,3,柏原・織田・庄野・若月,,,
COM501g,コンピュータネットワーク,前学期,火,3,大坐畠　智,,,
COM501g,コンピュータネットワーク,前学期,水,3,KITSUWAN　NATTAPONG,,,
COM501h,コンピュータネットワーク,前学期,火,3,大坐畠　智,,,
COM501h,コンピュータネットワーク,前学期,水,3,KITSUWAN　NATTAPONG,,,
COM505f,コンピュータネットワーク,前学期,火,3,大坐畠　智,,,
COM505f,コンピュータネットワーク,前学期,水,3,KITSUWAN　NATTAPONG,,,
COM601b,ソフトウェア工学,後学期,火,2,佐藤　重幸,,,
COM601b,ソフトウェア工学,後学期,木,4,田原　康之,,,
COM602a,ソフトウェア工学,後学期,火,2,佐藤　重幸,,,
