subject_code,subject_name,term,day,period,instructors,class_id,status,note(特筆事項)
BIO401k,分子生物学,後学期,月,2,三瓶　嚴一,,out_of_scope,情報理工学域の時間割画像内に当該科目名の記載が見当たらない(対象外の可能性、要確認)
BIO401k,分子生物学,後学期,月,2,松田　信爾,"機械システムプログラム,電子工学プログラム,光工学プログラム,物理工学プログラム,化学生命工学プログラム",filled,
BIO401m,分子生物学,後学期,月,2,三瓶　嚴一,,out_of_scope,情報理工学域の時間割画像内に当該科目名の記載が見当たらない(対象外の可能性、要確認)
BIO401m,分子生物学,後学期,月,2,松田　信爾,"機械システムプログラム,電子工学プログラム,光工学プログラム,物理工学プログラム,化学生命工学プログラム",filled,
BIO401n,分子生物学,後学期,月,2,三瓶　嚴一,,out_of_scope,情報理工学域の時間割画像内に当該科目名の記載が見当たらない(対象外の可能性、要確認)
BIO401n,分子生物学,後学期,月,2,松田　信爾,"機械システムプログラム,電子工学プログラム,光工学プログラム,物理工学プログラム,化学生命工学プログラム",filled,
BIO401p,分子生物学,後学期,月,2,三瓶　嚴一,,out_of_scope,情報理工学域の時間割画像内に当該科目名の記載が見当たらない(対象外の可能性、要確認)
BIO401p,分子生物学,後学期,月,2,松田　信爾,"機械システムプログラム,電子工学プログラム,光工学プログラム,物理工学プログラム,化学生命工学プログラム",filled,
BIO401r,分子生物学,後学期,月,2,三瓶　嚴一,,out_of_scope,情報理工学域の時間割画像内に当該科目名の記載が見当たらない(対象外の可能性、要確認)
BIO401r,分子生物学,後学期,月,2,松田　信爾,"機械システムプログラム,電子工学プログラム,光工学プログラム,物理工学プログラム,化学生命工学プログラム",filled,
CAR503z,インターンシップ,前学期,,,原田　慧・関　新之助,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
CAR503z,インターンシップ,前学期,,,田中　久陽・舩戸 徹郎,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
CAR503z,インターンシップ,前学期,,,中根　大介,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
CAR504z,インターンシップ（海外）,前学期,,,原田　慧・関　新之助,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
CAR504z,インターンシップ（海外）,前学期,,,田中　久陽・舩戸 徹郎,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
CAR504z,インターンシップ（海外）,前学期,,,中根　大介,,out_of_scope,時間割上に曜日・時限の指定なし(集中講義/オンデマンド等の可能性)。対象外として空欄
CHI101z,中国語第一,前学期,月,2,中村　孝子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI101z,中国語第一,前学期,月,2,鷲巣　益美,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI101z,中国語第一,前学期,月,2,石野　智大,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI101z,中国語第一,前学期,月,2,木村　奈津子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI101z,中国語第一,前学期,月,3,中村　孝子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI101z,中国語第一,前学期,月,3,鷲巣　益美,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI101z,中国語第一,前学期,月,3,石野　智大,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI101z,中国語第一,前学期,月,3,木村　奈津子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI101z,中国語第一,前学期,月,4,鷲巣　益美,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI102z,選択中国語第一,前学期,木,2,小野　響,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI102z,選択中国語第一,前学期,木,2,李　偉,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI102z,選択中国語第一,前学期,木,2,千葉　偉一,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI102z,選択中国語第一,前学期,木,5,小野　響,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI201z,中国語第二,後学期,月,2,中村　孝子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI201z,中国語第二,後学期,月,2,鷲巣　益美,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI201z,中国語第二,後学期,月,2,石野　智大,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
CHI201z,中国語第二,後学期,月,2,木村　奈津子,,unresolved,言語選択科目のため、時間割上は特定クラスに紐付けられない(「言語文化基礎科目Ⅱ※注1」等の共通枠に該当)
