pdf,year,term,cluster,class_id,day,period,subject_name,teacher_name,note
A1,1,前学期,I,1,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,I,1,月,2,言語文化基礎科目Ⅱ※注1,,
A1,1,前学期,I,1,月,3,健康論,大河原・栃木・○竹内・○八百・○青木,
A1,1,前学期,I,1,火,1,化学概論第一,○池田(佑),新C203
A1,1,前学期,I,1,火,2,Academic Spoken English I ※注1,松浦,B202
A1,1,前学期,I,1,火,3,微分積分学第一,天野,A101
A1,1,前学期,I,1,火,4,物理学概論第一,清水,東4-201
A1,1,前学期,I,1,水,1,コンピュータリテラシー,王(港),東3-1F演習室1
A1,1,前学期,I,1,水,2,基礎数学演習第一(留学生のみ),濱野(哲),東2-302
A1,1,前学期,I,1,水,3,数学演習第一,○伊藤,A201
A1,1,前学期,I,1,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,I,1,木,2,選択独語第一,中橋,東4-222
A1,1,前学期,I,1,木,4,線形代数学第一,○三好,A101
A1,1,前学期,I,1,金,1,Academic Written English I ※注1,,
A1,1,前学期,I,1,金,3,【春】基礎科学実験A1,中村(信)・溝口・李(鯤)・永松・〇富田・〇未定,
A1,1,前学期,I,1,金,4,【夏】基礎科学実験B1,三輪・○奥井・○島田・*落合・*藤本,
A1,1,前学期,I,2,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,I,2,月,2,化学概論第一,山北,新C403
A1,1,前学期,I,2,月,3,健康論,加固・〇加治・〇池田・○大橋・○石垣・*藤本,
A1,1,前学期,I,2,火,1,基礎物理学演習第一(留学生のみ),マトゥティス,東4-317
A1,1,前学期,I,2,火,2,物理学概論第一,大野,A201
A1,1,前学期,I,2,火,3,コンピュータリテラシー,高木,東3-1F演習室1
A1,1,前学期,I,2,火,4,物理学概論第一,守,新C303
A1,1,前学期,I,2,水,1,微分積分学第一,○羽賀,A102
A1,1,前学期,I,2,水,2,基礎数学演習第一(留学生のみ),濱野(哲),東2-302
A1,1,前学期,I,2,水,3,数学演習第一,石田(晴),A202
A1,1,前学期,I,2,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,I,2,木,2,選択独語第一,○浜田,東4-201
A1,1,前学期,I,2,木,3,線形代数学第一,○陸名,A303
A1,1,前学期,I,2,木,4,コンピュータリテラシー,若月,東3-1F演習室2
A1,1,前学期,I,2,金,2,化学概論第一,石田(尚),東6-337
A1,1,前学期,I,2,金,3,【春】基礎科学実験A1,安藤(創)・狩野・星野・栃木・○早川,
A1,1,前学期,I,2,金,4,【夏】基礎科学実験B1,安藤(創)・狩野・星野・栃木・○早川,
A1,1,前学期,I,3,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,I,3,月,2,化学概論第一,山北,新C403
A1,1,前学期,I,3,月,3,言語文化基礎科目Ⅱ※注1,,
A1,1,前学期,I,3,月,4,微分積分学第一,田原,新C303
A1,1,前学期,I,3,火,1,基礎物理学演習第一(留学生のみ),マトゥティス,東4-317
A1,1,前学期,I,3,火,2,線形代数学第一,大野,A201
A1,1,前学期,I,3,火,3,物理学概論第一,横井,東4-201
A1,1,前学期,I,3,火,4,Academic Spoken English I ※注1,田中(久),西8-132
A1,1,前学期,I,3,水,1,微分積分学第一,○羽賀,A102
A1,1,前学期,I,3,水,2,基礎数学演習第一(留学生のみ),濱野(哲),東2-302
A1,1,前学期,I,3,水,3,数学演習第一,○鄭,A401
A1,1,前学期,I,3,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,I,3,木,2,選択仏語第一,○八木橋,新C103
A1,1,前学期,I,3,木,3,【春】基礎科学実験B1,山北・○大橋・○池田・〇島田・○多田・*藤本,
A1,1,前学期,I,3,木,4,【夏】基礎科学実験A1,奥野・松倉・津田・梶川・〇近藤・〇大石,
A1,1,前学期,I,3,金,2,線形代数学第一,○石川,A201
A1,1,前学期,I,3,金,3,健康論,安藤(創)・狩野・星野・栃木・○早川,
A1,1,前学期,I,3,金,4,健康論,安藤(創)・狩野・星野・栃木・○早川,
A1,1,前学期,I,4,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,I,4,月,2,コンピュータリテラシー,江木・椿本,東3-1F演習室1
A1,1,前学期,I,4,月,3,言語文化基礎科目Ⅱ※注1,,
A1,1,前学期,I,4,月,4,微分積分学第一,田原,新C303
A1,1,前学期,I,4,火,2,物理学概論第一,守,新C303
A1,1,前学期,I,4,火,3,微分積分学第一,齋藤(平),新C203
A1,1,前学期,I,4,火,4,物理学概論第一,清水,東4-201
A1,1,前学期,I,4,水,2,線形代数学第一,〇伊東,A202
A1,1,前学期,I,4,水,3,数学演習第一,○中村(友),A303
A1,1,前学期,I,4,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,I,4,木,1,化学概論第一,○池田(佑),新C203
A1,1,前学期,I,4,木,2,選択仏語第一,○八木橋,新C103
A1,1,前学期,I,4,木,3,【春】基礎科学実験B1,山北・○大橋・○池田・〇島田・○多田・*藤本,
A1,1,前学期,I,4,木,4,【夏】基礎科学実験A1,奥野・松倉・津田・梶川・〇近藤・〇大石,
A1,1,前学期,I,4,金,2,Academic Written English I ※注1,○国定,B102
A1,1,前学期,I,4,金,4,【夏】基礎科学実験B1,三輪・○奥井・○島田・*落合・*藤本,
A1,1,前学期,II,5,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,II,5,月,2,化学概論第一,加固,新C103
A1,1,前学期,II,5,月,3,基礎科学実験B1,広田・*竹内,東3-1F演習室1
A1,1,前学期,II,5,月,4,コンピュータリテラシー,田中(基),東3-1F演習室2
A1,1,前学期,II,5,火,1,基礎物理学演習第一(留学生のみ),マトゥティス,東4-317
A1,1,前学期,II,5,火,2,Academic Spoken English I ※注1,○山登,新C303
A1,1,前学期,II,5,火,3,微分積分学第一,平野,東5-241
A1,1,前学期,II,5,火,4,物理学概論第一,田中(久),西8-132
A1,1,前学期,II,5,水,1,基礎数学演習第一(留学生のみ),濱野(哲),東2-302
A1,1,前学期,II,5,水,2,線形代数学第一,山田(裕),A303
A1,1,前学期,II,5,水,3,数学演習第一,○鄭,A401
A1,1,前学期,II,5,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,II,5,木,2,選択独語第一,金沢,A303
A1,1,前学期,II,5,木,3,【春】基礎科学実験B1,奥野・木寺・松倉・梶川・〇近藤・〇大石,
A1,1,前学期,II,5,木,4,【夏】基礎科学実験A1,奥野・松倉・津田・梶川・〇近藤・〇大石,
A1,1,前学期,II,5,木,5,アカデミックスキルズ,中井,A402
A1,1,前学期,II,5,金,2,微分積分学第一,○国定,B102
A1,1,前学期,II,5,金,3,Academic Written English I ※注1,石田(晴),A201
A1,1,前学期,II,6,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,II,6,月,2,言語文化基礎科目Ⅱ※注1,栗原,東3-1F演習室2
A1,1,前学期,II,6,月,3,基礎科学実験B1,加固・〇加治・〇池田・○大橋・○石垣・*藤本,
A1,1,前学期,II,6,月,4,コンピュータリテラシー,広田・*竹内,東3-1F演習室1
A1,1,前学期,II,6,火,1,基礎物理学演習第一(留学生のみ),○林,A101
A1,1,前学期,II,6,火,2,化学概論第一,平野,東5-241
A1,1,前学期,II,6,火,3,物理学概論第一,臼井,C201
A1,1,前学期,II,6,火,4,Academic Spoken English I ※注1,古川(裕),A201
A1,1,前学期,II,6,水,1,基礎数学演習第一(留学生のみ),濱野(哲),東2-302
A1,1,前学期,II,6,水,2,線形代数学第一,山田(裕),A303
A1,1,前学期,II,6,水,3,数学演習第一,榎本,B102
A1,1,前学期,II,6,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,II,6,木,2,選択独語第一,中橋,A402
A1,1,前学期,II,6,木,5,基礎物理学演習第一(留学生のみ),○中井,東4-317
A1,1,前学期,II,6,金,2,線形代数学第一,○石川,A201
A1,1,前学期,II,6,金,3,Academic Written English I ※注1,○国定,B102
A1,1,前学期,II,7,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,II,7,月,2,言語文化基礎科目Ⅱ※注1,,
A1,1,前学期,II,7,月,3,基礎科学実験B1,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,
A1,1,前学期,II,7,月,4,基礎科学実験A1,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,
A1,1,前学期,II,7,火,1,物理学概論第一,野村,西5-101
A1,1,前学期,II,7,火,2,化学概論第一,○林,A101
A1,1,前学期,II,7,火,3,Academic Spoken English I ※注1,細川,東6-337
A1,1,前学期,II,7,火,4,化学概論第一,牧,A101
A1,1,前学期,II,7,水,1,コンピュータリテラシー,柏原,東3-1F演習室1
A1,1,前学期,II,7,水,2,微分積分学第一,天野,A301
A1,1,前学期,II,7,水,3,数学演習第一,○伊藤(賢),A201
A1,1,前学期,II,7,水,4,数学演習第一,榎本,B102
A1,1,前学期,II,7,木,2,選択中国語第一,小野,新C203
A1,1,前学期,II,7,木,3,コンピュータリテラシー,八木,東3-1F演習室2
A1,1,前学期,II,7,木,4,健康論,岡田(英)・栃木・○今野・○服部・○塚本,
A1,1,前学期,II,7,金,2,線形代数学第一,○中井,A202
A1,1,前学期,II,7,金,3,Academic Written English I ※注1,石田(晴),A201
A1,1,前学期,II,7,金,4,Academic Written English I ※注1,○野内,A202
A1,1,前学期,II,8,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,II,8,月,2,コンピュータリテラシー,,教員名不明（原本では列に部屋番号のみ記載）
A1,1,前学期,II,8,月,3,基礎科学実験A1,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,
A1,1,前学期,II,8,月,4,言語文化基礎科目Ⅱ※注1,大河原・栃木・○竹内・○八百・○青木,
A1,1,前学期,II,8,火,1,物理学概論第一,野村,西5-101
A1,1,前学期,II,8,火,2,化学概論第一,谷口,新C203
A1,1,前学期,II,8,火,3,物理学概論第一,戸田・*笹倉,東3-1F演習室2
A1,1,前学期,II,8,火,4,化学概論第一,田仲,東6-337
A1,1,前学期,II,8,水,1,微分積分学第一,○羽賀,A102
A1,1,前学期,II,8,水,2,基礎数学演習第一(留学生のみ),濵野,東2-302
A1,1,前学期,II,8,水,3,数学演習第一,丸亀,A102
A1,1,前学期,II,8,水,4,数学演習第一,○伊藤(賢),A201
A1,1,前学期,II,8,木,2,選択中国語第一,○山元,B101
A1,1,前学期,II,8,木,3,線形代数学第一,○三好,A101
A1,1,前学期,II,8,木,4,健康論,岡田(英)・栃木・○今野・○服部・○塚本,
A1,1,前学期,II,8,金,2,線形代数学第一,石田(晴),A403
A1,1,前学期,II,8,金,3,【春】基礎科学実験A1,三輪・○奥井・○島田・*落合・*藤本,
A1,1,前学期,II,8,金,4,【夏】基礎科学実験B1,中村(信)・萱野・溝口・永松・〇富田・〇未定,
A1,1,前学期,III,9,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,III,9,月,2,言語文化基礎科目Ⅱ※注1,,
A1,1,前学期,III,9,月,3,【春】基礎科学実験B1,加固・〇加治・〇池田・○大橋・○石垣・*藤本,
A1,1,前学期,III,9,月,4,【夏】基礎科学実験A1,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,
A1,1,前学期,III,9,火,1,基礎物理学演習第一(留学生のみ),マトゥティス,東4-317
A1,1,前学期,III,9,火,2,微分積分学第一,丹治,西8-131
A1,1,前学期,III,9,火,3,物理学概論第一,細川,東6-337
A1,1,前学期,III,9,火,4,化学概論第一,三輪,A102
A1,1,前学期,III,9,水,1,コンピュータリテラシー,渡辺(博),東3-1F演習室2
A1,1,前学期,III,9,水,2,線形代数学第一,柏原,東3-1F演習室1
A1,1,前学期,III,9,水,3,数学演習第一,〇関根,A101
A1,1,前学期,III,9,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,III,9,木,2,選択中国語第一,○李(霊),C301
A1,1,前学期,III,9,木,3,線形代数学第一,○三好,A101
A1,1,前学期,III,9,木,4,健康論,岡田(英)・栃木・○今野・○服部・○塚本,
A1,1,前学期,III,9,金,2,微分積分学第一,○国定,B102
A1,1,前学期,III,9,金,3,Academic Written English I ※注1,三輪・○奥井・○島田・*落合・*藤本,
A1,1,前学期,III,9,金,4,Academic Written English I ※注1,中村(信)・萱野・溝口・永松・〇富田・〇未定,
A1,1,前学期,III,10,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,III,10,月,2,コンピュータリテラシー,栗原,東3-1F演習室2
A1,1,前学期,III,10,月,3,言語文化基礎科目Ⅱ※注1,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,
A1,1,前学期,III,10,月,4,健康論,大河原・栃木・○竹内・○八百・○青木,
A1,1,前学期,III,10,火,1,物理学概論第一,小池,C301
A1,1,前学期,III,10,火,2,物理学概論第一,谷口,新C203
A1,1,前学期,III,10,火,3,物理学概論第一,大野,新C303
A1,1,前学期,III,10,火,4,化学概論第一,桑原,C201
A1,1,前学期,III,10,水,1,微分積分学第一,渡辺(博),東3-1F演習室2
A1,1,前学期,III,10,水,2,コンピュータリテラシー,栗原,東3-1F演習室2
A1,1,前学期,III,10,水,3,物理学演習第一,○中村(友),A301
A1,1,前学期,III,10,水,4,数学演習第一,○鄭,A403
A1,1,前学期,III,10,木,2,選択韓国朝鮮語第一,○姜,A202
A1,1,前学期,III,10,木,3,健康論,岡田(英)・栃木・○今野・○服部・○塚本,
A1,1,前学期,III,10,木,5,アカデミックスキルズ,中井,東4-317
A1,1,前学期,III,10,金,3,Academic Written English I ※注1,石田(晴),A201
A1,1,前学期,III,10,金,4,Academic Written English I ※注1,○国定,B102
A1,1,前学期,III,11,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,III,11,月,2,言語文化基礎科目Ⅱ※注1,,
A1,1,前学期,III,11,月,3,【春】基礎科学実験A1,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,
A1,1,前学期,III,11,月,4,【夏】基礎科学実験B1,加固・〇加治・〇池田・○大橋・○石垣・*藤本,
A1,1,前学期,III,11,火,1,基礎物理学演習第一(留学生のみ),マトゥティス,東4-317
A1,1,前学期,III,11,火,2,化学概論第一,田中(一),東4-201
A1,1,前学期,III,11,火,3,コンピュータリテラシー,戸田・*笹倉,東3-1F演習室2
A1,1,前学期,III,11,火,4,化学概論第一,田仲,東6-337
A1,1,前学期,III,11,水,1,基礎数学演習第一(留学生のみ),濵野(哲),東2-302
A1,1,前学期,III,11,水,2,コンピュータリテラシー,○羽賀,A102
A1,1,前学期,III,11,水,3,数学演習第一,○中村(友),A301
A1,1,前学期,III,11,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,III,11,木,3,線形代数学第一,○三好,A101
A1,1,前学期,III,11,木,4,,○陸名,A303
A1,1,前学期,III,11,木,5,基礎物理学演習第一(留学生のみ),中井,東4-317
A1,1,前学期,III,11,金,2,線形代数学第一,○中井,A202
A1,1,前学期,III,11,金,3,微分積分学第一,○国定,B102
A1,1,前学期,III,12,月,1,キャリア教育基礎,松木・山田(祥),クラス1〜12共通
A1,1,前学期,III,12,月,2,言語文化基礎科目Ⅱ※注1,,
A1,1,前学期,III,12,月,3,【春】基礎科学実験A1,大饗・菊池・村上・饗庭・〇吉村・〇須田・*高田,
A1,1,前学期,III,12,月,4,【夏】基礎科学実験B1,加固・〇加治・〇池田・○大橋・○石垣・*藤本,
A1,1,前学期,III,12,火,1,基礎物理学演習第一(留学生のみ),マトゥティス,東4-317
A1,1,前学期,III,12,火,2,Academic Spoken English I ※注1,古川(福),A201
A1,1,前学期,III,12,火,3,物理学概論第一,大野,新C303
A1,1,前学期,III,12,火,4,化学概論第一,三輪,A102
A1,1,前学期,III,12,水,2,基礎数学演習第一(留学生のみ),濵野(哲),東2-302
A1,1,前学期,III,12,水,3,微分積分学第一,天野,A301
A1,1,前学期,III,12,水,4,物理学演習第一,佐々木(成)・中村(仁)・臼井・○鈴木(勝),"B101,B201,B202"
A1,1,前学期,III,12,木,2,選択韓国朝鮮語第一,○姜,A202
A1,1,前学期,III,12,木,4,線形代数学第一,石田(晴),A403
A1,1,前学期,III,12,金,2,微分積分学第一,石田(晴),A403
A1,1,前学期,III,12,金,3,Academic Written English I ※注1,○国定,B102
